iter	Passed	Remaining
0	661	661001
1	1178	587988
2	1605	533681
3	2134	531588
4	2629	523306
5	3190	528542
6	3723	528190
7	4232	524787
8	4694	516863
9	5127	507573
10	5559	499859
11	5997	493800
12	6422	487617
13	6913	486934
14	7382	484765
15	7848	482674
16	8329	481644
17	8824	481446
18	9297	480067
19	9740	477269
20	10149	473152
21	10640	473015
22	11224	476798
23	11854	482069
24	12444	485331
25	12916	483875
26	13505	486702
27	14099	489462
28	14635	490053
29	15216	491999
30	15791	493604
31	16426	496888
32	16916	495698
33	17479	496615
34	17985	495897
35	18445	493917
36	18904	492031
37	19483	493227
38	19991	492612
39	20518	492434
40	20951	490049
41	21432	488860
42	21932	488121
43	22438	487518
44	22841	484749
45	23317	483591
46	23807	482731
47	24306	482071
48	24844	482179
49	25348	481623
50	25847	480969
51	26398	481270
52	26975	481998
53	27493	481644
54	27998	481064
55	28470	479934
56	29039	480427
57	29597	480700
58	30116	480339
59	30614	479625
60	31127	479157
61	31665	479063
62	32232	479387
63	32698	478220
64	33236	478097
65	33767	477857
66	34322	477952
67	34845	477591
68	35413	477830
69	35951	477635
70	36452	476966
71	36934	476042
72	37387	474764
73	37864	473812
74	38366	473182
75	38861	472472
76	39351	471707
77	39810	470577
78	40301	469848
79	40764	468793
80	41279	468339
81	41825	468239
82	42371	468126
83	42982	468719
84	43497	468242
85	43959	467196
86	44443	466400
87	45001	466380
88	45495	465690
89	45958	464695
90	46456	464053
91	46918	463064
92	47416	462434
93	47920	461872
94	48400	461079
95	48882	460314
96	49342	459340
97	49905	459331
98	50415	458829
99	50899	458091
100	51322	456822
101	51806	456099
102	52269	455198
103	52771	454645
104	53243	453834
105	53692	452836
106	54091	451440
107	54594	450906
108	55065	450120
109	55561	449544
110	56037	448807
111	56595	448721
112	57110	448292
113	57593	447615
114	58097	447101
115	58599	446565
116	59069	445797
117	59561	445195
118	60067	444702
119	60566	444154
120	61043	443445
121	61515	442711
122	62009	442129
123	62506	441578
124	63026	441184
125	63542	440765
126	63993	439892
127	64482	439287
128	64938	438461
129	65418	437801
130	65919	437283
131	66427	436811
132	66929	436297
133	67411	435660
134	67914	435153
135	68406	434583
136	68929	434203
137	69424	433652
138	69917	433085
139	70407	432503
140	70986	432461
141	71489	431955
142	71966	431296
143	72485	430885
144	72925	430006
145	73474	429773
146	73993	429366
147	74525	429023
148	75126	429080
149	75688	428900
150	76266	428808
151	76815	428551
152	77429	428645
153	78029	428655
154	78633	428679
155	79079	427842
156	79606	427441
157	80052	426607
158	80494	425759
159	80849	424460
160	81337	423862
161	81833	423311
162	82321	422716
163	82777	421965
164	83222	421158
165	83666	420347
166	84125	419618
167	84647	419205
168	85111	418505
169	85608	417972
170	86085	417336
171	86544	416621
172	87031	416042
173	87467	415221
174	87884	414311
175	88342	413604
176	88819	412986
177	89327	412512
178	89791	411835
179	90287	411310
180	90786	410794
181	91268	410206
182	91792	409804
183	92242	409075
184	92658	408200
185	93117	407513
186	93604	406953
187	94048	406208
188	94497	405488
189	94952	404798
190	95430	404207
191	95894	403558
192	96365	402938
193	96799	402167
194	97277	401583
195	97720	400851
196	98112	399921
197	98647	399573
198	99117	398961
199	99614	398458
200	100106	397934
201	100581	397345
202	101014	396592
203	101490	396011
204	101967	395433
205	102409	394722
206	102903	394216
207	103396	393702
208	103843	393013
209	104342	392528
210	104819	391956
211	105257	391239
212	105722	390628
213	106153	389892
214	106611	389256
215	107089	388695
216	107565	388127
217	108052	387602
218	108535	387060
219	108980	386385
220	109489	385937
221	110009	385529
222	110520	385086
223	111055	384729
224	111559	384261
225	112054	383762
226	112549	383263
227	113062	382825
228	113554	382317
229	114050	381820
230	114528	381267
231	115058	380884
232	115570	380441
233	116050	379890
234	116558	379434
235	117048	378918
236	117461	378156
237	117923	377552
238	118408	377025
239	118920	376581
240	119380	375975
241	119959	375741
242	120460	375261
243	121019	374962
244	121556	374590
245	122066	374140
246	122521	373515
247	123019	373027
248	123557	372656
249	124005	372016
250	124496	371505
251	124979	370972
252	125406	370270
